MSA File,Status,Number of Mutations,Total_hits
MSA_YP_005228142.1.faa,Mutations found,1,2
MSA_YP_005226618.1.faa,Mutations found,14,99
MSA_YP_005228386.1.faa,No mutations found,0,5
MSA_YP_005224629.1.faa,Mutations found,1,100
MSA_YP_005227985.1.faa,Mutations found,6,100
MSA_YP_005226075.1.faa,Mutations found,4,100
MSA_YP_005228140.1.faa,Mutations found,3,100
MSA_YP_005229576.1.faa,Mutations found,3,100
MSA_YP_005225772.1.faa,Mutations found,3,99
MSA_YP_005228487.1.faa,No mutations found,0,100
MSA_YP_005226005.1.faa,Mutations found,8,78
MSA_YP_005228113.1.faa,Mutations found,6,100
MSA_YP_005227995.1.faa,Mutations found,40,100
MSA_YP_005228419.1.faa,Mutations found,12,100
MSA_YP_005226994.1.faa,Mutations found,26,96
MSA_YP_005227994.1.faa,Mutations found,6,100
MSA_YP_005228283.1.faa,Mutations found,3,2
MSA_YP_005226261.1.faa,Mutations found,1020,100
MSA_YP_005228552.1.faa,Mutations found,3,100
MSA_YP_005226033.1.faa,Mutations found,70,58
MSA_YP_005225800.1.faa,Mutations found,28,100
MSA_YP_005226212.1.faa,Mutations found,4,100
MSA_YP_005224765.1.faa,Mutations found,3,2
MSA_YP_005225517.1.faa,Mutations found,3,100
MSA_YP_005228797.1.faa,No mutations found,0,3
MSA_YP_005229154.1.faa,No mutations found,0,100
MSA_YP_005226205.1.faa,Mutations found,6,80
MSA_YP_005226491.1.faa,Mutations found,9,100
MSA_YP_005228597.1.faa,Mutations found,9,100
MSA_YP_005229305.1.faa,Mutations found,19,100
MSA_YP_005225464.1.faa,Mutations found,11,100
MSA_YP_005226161.1.faa,Mutations found,2,100
MSA_YP_005229418.1.faa,Mutations found,9,99
MSA_YP_005229237.1.faa,Mutations found,1,100
MSA_YP_005225290.1.faa,Mutations found,7,85
MSA_YP_005229467.1.faa,Mutations found,4,100
MSA_YP_005229333.1.faa,Mutations found,5,100
MSA_YP_005226778.1.faa,Mutations found,1,7
MSA_YP_005227693.1.faa,Mutations found,6,100
MSA_YP_005225513.1.faa,Mutations found,26,100
MSA_YP_005226127.1.faa,Mutations found,10,99
MSA_YP_005224445.1.faa,Mutations found,5,100
MSA_YP_005226025.1.faa,Mutations found,6,117
MSA_YP_005227673.1.faa,Mutations found,3,100
MSA_YP_005224583.1.faa,No mutations found,0,100
MSA_YP_005225095.1.faa,Mutations found,2,100
MSA_YP_005227122.1.faa,Mutations found,2,2
MSA_YP_005226855.1.faa,Mutations found,3,67
MSA_YP_005226283.1.faa,Mutations found,7,100
MSA_YP_005228564.1.faa,Mutations found,20,100
MSA_YP_005228772.1.faa,Mutations found,10,65
MSA_YP_005227763.1.faa,Mutations found,17,83
MSA_YP_005229292.1.faa,Mutations found,3,100
MSA_YP_005225252.1.faa,Mutations found,12,100
MSA_YP_005225030.1.faa,Mutations found,19,100
MSA_YP_005224449.1.faa,No mutations found,0,2
MSA_YP_005224635.1.faa,Mutations found,3,100
MSA_YP_005228403.1.faa,Mutations found,3,100
MSA_YP_005228630.1.faa,Mutations found,7,99
MSA_YP_005229018.1.faa,Mutations found,1,5
MSA_YP_005227540.1.faa,No mutations found,0,100
MSA_YP_005227037.1.faa,No mutations found,0,38
MSA_YP_005229435.1.faa,Mutations found,6,100
MSA_YP_005229293.1.faa,Mutations found,14,100
MSA_YP_005224393.1.faa,Mutations found,10,99
MSA_YP_005224708.1.faa,Mutations found,1,16
MSA_YP_005226204.1.faa,Mutations found,4,98
MSA_YP_005224467.1.faa,Mutations found,5,100
MSA_YP_005225653.1.faa,Mutations found,4,99
MSA_YP_005225422.1.faa,Mutations found,11,100
MSA_YP_005228847.1.faa,No mutations found,0,100
MSA_YP_005226538.1.faa,Mutations found,82,60
MSA_YP_005229309.1.faa,Mutations found,17,99
MSA_YP_005228479.1.faa,Mutations found,6,100
MSA_YP_005227803.1.faa,Mutations found,5,99
MSA_YP_005225500.1.faa,Mutations found,4,100
MSA_YP_005228407.1.faa,Mutations found,25,100
MSA_YP_005226848.1.faa,Mutations found,4,99
MSA_YP_005227417.1.faa,Mutations found,1,81
MSA_YP_005225160.1.faa,No mutations found,0,100
MSA_YP_005227143.1.faa,Mutations found,7,99
MSA_YP_005227925.1.faa,Mutations found,4,100
MSA_YP_005226903.1.faa,Mutations found,15,100
MSA_YP_005228141.1.faa,Mutations found,11,100
MSA_YP_005224975.1.faa,Mutations found,7,99
MSA_YP_005229171.1.faa,Mutations found,42,99
MSA_YP_005226101.1.faa,Mutations found,179,98
MSA_YP_005227853.1.faa,Mutations found,18,84
MSA_YP_005225362.1.faa,Mutations found,11,100
MSA_YP_005228374.1.faa,Mutations found,3,100
MSA_YP_005224378.1.faa,Mutations found,2,100
MSA_YP_005225819.1.faa,Mutations found,1,100
MSA_YP_005225792.1.faa,Mutations found,6,100
MSA_YP_005224377.1.faa,Mutations found,7,100
MSA_YP_005228255.1.faa,Mutations found,16,102
MSA_YP_005226497.1.faa,No mutations found,0,100
MSA_YP_005226986.1.faa,Mutations found,10,83
MSA_YP_005229045.1.faa,Mutations found,4,100
MSA_YP_005225073.1.faa,Mutations found,3,100
MSA_YP_005225339.1.faa,Mutations found,7,100
MSA_YP_005225401.1.faa,Mutations found,1,100
MSA_YP_005227425.1.faa,Mutations found,9,97
MSA_YP_005226790.1.faa,Mutations found,264,100
MSA_YP_005228177.1.faa,Mutations found,2,100
MSA_YP_005225991.1.faa,Mutations found,19,100
MSA_YP_005226995.1.faa,Mutations found,67,100
MSA_YP_005225403.1.faa,Mutations found,13,100
MSA_YP_005229595.1.faa,Mutations found,1,5
MSA_YP_005225094.1.faa,Mutations found,4,100
MSA_YP_005224803.1.faa,No mutations found,0,100
MSA_YP_005224815.1.faa,Mutations found,1,100
MSA_YP_005229459.1.faa,Mutations found,11,100
MSA_YP_005227549.1.faa,Mutations found,26,99
MSA_YP_005228481.1.faa,Mutations found,3,100
MSA_YP_005225492.1.faa,Mutations found,12,97
MSA_YP_005224304.1.faa,Mutations found,4,99
MSA_YP_005225089.1.faa,Mutations found,8,98
MSA_YP_005228208.1.faa,Mutations found,359,101
MSA_YP_005225890.1.faa,Mutations found,14,100
MSA_YP_005228740.1.faa,Mutations found,12,82
MSA_YP_005229065.1.faa,Mutations found,2,99
MSA_YP_005229550.1.faa,Mutations found,5,99
MSA_YP_005226938.1.faa,Mutations found,13,88
MSA_YP_005228432.1.faa,Mutations found,5,100
MSA_YP_005226693.1.faa,Mutations found,145,99
MSA_YP_005225790.1.faa,No mutations found,0,100
MSA_YP_005224948.1.faa,Mutations found,4,100
MSA_YP_005226950.1.faa,Mutations found,3,76
MSA_YP_005225642.1.faa,Mutations found,8,100
MSA_YP_005227745.1.faa,Mutations found,106,100
MSA_YP_005228402.1.faa,Mutations found,2,100
MSA_YP_005225573.1.faa,Mutations found,6,13
MSA_YP_005228724.1.faa,Mutations found,24,95
MSA_YP_005228465.1.faa,Mutations found,8,100
MSA_YP_005226887.1.faa,Mutations found,9,100
MSA_YP_005228400.1.faa,Mutations found,5,100
MSA_YP_005226883.1.faa,Mutations found,234,96
MSA_YP_005224792.1.faa,Mutations found,22,3
MSA_YP_005226114.1.faa,Mutations found,5,100
MSA_YP_005225455.1.faa,Mutations found,2,100
MSA_YP_005226147.1.faa,No mutations found,0,2
MSA_YP_005228514.1.faa,Mutations found,6,100
MSA_YP_005224412.1.faa,Mutations found,8,98
MSA_YP_005227215.1.faa,Mutations found,152,100
MSA_YP_005228522.1.faa,Mutations found,3,100
MSA_YP_005228190.1.faa,Mutations found,2,100
MSA_YP_005225850.1.faa,Mutations found,9,100
MSA_YP_005227917.1.faa,Mutations found,12,100
MSA_YP_005228444.1.faa,Mutations found,37,100
MSA_YP_005227690.1.faa,Mutations found,2,100
MSA_YP_005225607.1.faa,Mutations found,56,100
MSA_YP_005227781.1.faa,Mutations found,2,5
MSA_YP_005225007.1.faa,Mutations found,8,99
MSA_YP_005228304.1.faa,Mutations found,31,7
MSA_YP_005227092.1.faa,Mutations found,1,95
MSA_YP_005224719.1.faa,Mutations found,1,100
MSA_YP_005224967.1.faa,Mutations found,1,99
MSA_YP_005224456.1.faa,Mutations found,3,100
MSA_YP_005224811.1.faa,Mutations found,2,78
MSA_YP_005228623.1.faa,Mutations found,7,99
MSA_YP_005228768.1.faa,Mutations found,12,98
MSA_YP_005227111.1.faa,Mutations found,37,100
MSA_YP_005229228.1.faa,Mutations found,84,102
MSA_YP_005224417.1.faa,Mutations found,3,100
MSA_YP_005226535.1.faa,Mutations found,55,100
MSA_YP_005228838.1.faa,Mutations found,21,98
MSA_YP_005228244.1.faa,Mutations found,33,101
MSA_YP_005226699.1.faa,Mutations found,16,99
MSA_YP_005225711.1.faa,Mutations found,3,97
MSA_YP_005226639.1.faa,Mutations found,18,97
MSA_YP_005228164.1.faa,Mutations found,6,100
MSA_YP_005226281.1.faa,Mutations found,25,100
MSA_YP_005229498.1.faa,Mutations found,7,99
MSA_YP_005224604.1.faa,Mutations found,44,99
MSA_YP_005226741.1.faa,Mutations found,11,91
MSA_YP_005227353.1.faa,Mutations found,20,100
MSA_YP_005225553.1.faa,Mutations found,1,6
MSA_YP_005229236.1.faa,Mutations found,1,100
MSA_YP_005228910.1.faa,Mutations found,4,99
MSA_YP_005226657.1.faa,Mutations found,49,98
MSA_YP_005225809.1.faa,Mutations found,6,100
MSA_YP_005229558.1.faa,Mutations found,3,100
MSA_YP_005228039.1.faa,No mutations found,0,100
MSA_YP_005226445.1.faa,Mutations found,2,100
MSA_YP_005228320.1.faa,Mutations found,298,13
MSA_YP_005225298.1.faa,Mutations found,6,88
MSA_YP_005226276.1.faa,Mutations found,5,100
MSA_YP_005226743.1.faa,Mutations found,9,100
MSA_YP_005228718.1.faa,Mutations found,7,2
MSA_YP_005228903.1.faa,Mutations found,6,100
MSA_YP_005224976.1.faa,Mutations found,6,100
MSA_YP_005228567.1.faa,Mutations found,4,99
MSA_YP_005227421.1.faa,Mutations found,4,100
MSA_YP_005224582.1.faa,Mutations found,2,100
MSA_YP_005224722.1.faa,Mutations found,21,100
MSA_YP_005226237.1.faa,Mutations found,4,100
MSA_YP_005224461.1.faa,Mutations found,1,100
MSA_YP_005226785.1.faa,Mutations found,7,100
MSA_YP_005227226.1.faa,Mutations found,5,100
MSA_YP_005226279.1.faa,Mutations found,1,100
MSA_YP_005229279.1.faa,Mutations found,5,100
MSA_YP_005226118.1.faa,Mutations found,1,100
MSA_YP_005225525.1.faa,Mutations found,18,100
MSA_YP_005224738.1.faa,Mutations found,3,100
MSA_YP_005227222.1.faa,Mutations found,67,99
MSA_YP_005226860.1.faa,Mutations found,8,96
MSA_YP_005225934.1.faa,Mutations found,4,100
MSA_YP_005227610.1.faa,Mutations found,4,100
MSA_YP_005225936.1.faa,Mutations found,4,100
MSA_YP_005226872.1.faa,Mutations found,93,100
MSA_YP_005224890.1.faa,Mutations found,8,100
MSA_YP_005226129.1.faa,Mutations found,357,100
MSA_YP_005227870.1.faa,Mutations found,108,100
MSA_YP_005226796.1.faa,Mutations found,23,100
MSA_YP_005226260.1.faa,Mutations found,35,99
MSA_YP_005228726.1.faa,Mutations found,11,82
MSA_YP_005228395.1.faa,Mutations found,3,100
MSA_YP_005228090.1.faa,Mutations found,3,100
MSA_YP_005227455.1.faa,Mutations found,34,100
MSA_YP_005228812.1.faa,Mutations found,5,65
MSA_YP_005226940.1.faa,Mutations found,371,86
MSA_YP_005226331.1.faa,Mutations found,1,99
MSA_YP_005224611.1.faa,Mutations found,12,100
MSA_YP_005225414.1.faa,No mutations found,0,100
MSA_YP_005224581.1.faa,Mutations found,1,100
MSA_YP_005225832.1.faa,Mutations found,1,100
MSA_YP_005227294.1.faa,Mutations found,2,5
MSA_YP_005229299.1.faa,Mutations found,6,100
MSA_YP_005229335.1.faa,Mutations found,21,100
MSA_YP_005225458.1.faa,Mutations found,2,100
MSA_YP_005225874.1.faa,No mutations found,0,100
MSA_YP_005226185.1.faa,Mutations found,21,99
MSA_YP_005227734.1.faa,Mutations found,3,100
MSA_YP_005227825.1.faa,Mutations found,14,100
MSA_YP_005225344.1.faa,Mutations found,6,100
MSA_YP_005224760.1.faa,Mutations found,19,100
MSA_YP_005227806.1.faa,Mutations found,1,19
MSA_YP_005227262.1.faa,Mutations found,2,100
MSA_YP_005224720.1.faa,Mutations found,5,100
MSA_YP_005227246.1.faa,Mutations found,3,100
MSA_YP_005226465.1.faa,Mutations found,1,101
MSA_YP_005227084.1.faa,Mutations found,108,52
MSA_YP_005225709.1.faa,Mutations found,9,96
MSA_YP_005228714.1.faa,No mutations found,0,100
MSA_YP_005224865.1.faa,Mutations found,12,98
MSA_YP_005227214.1.faa,Mutations found,141,100
MSA_YP_005226955.1.faa,Mutations found,35,87
MSA_YP_005227270.1.faa,Mutations found,7,100
MSA_YP_005225591.1.faa,Mutations found,16,12
MSA_YP_005228913.1.faa,Mutations found,17,99
MSA_YP_005227034.1.faa,Mutations found,202,70
MSA_YP_005225494.1.faa,Mutations found,5,100
MSA_YP_005227402.1.faa,Mutations found,14,98
MSA_YP_005225263.1.faa,Mutations found,3,100
MSA_YP_005227201.1.faa,Mutations found,6,100
MSA_YP_005224779.1.faa,Mutations found,2,100
MSA_YP_005228180.1.faa,Mutations found,293,100
MSA_YP_005229364.1.faa,Mutations found,34,100
MSA_YP_005226585.1.faa,Mutations found,14,61
MSA_YP_005225911.1.faa,No mutations found,0,100
MSA_YP_005228611.1.faa,Mutations found,2,100
MSA_YP_005227692.1.faa,Mutations found,4,100
MSA_YP_005226623.1.faa,Mutations found,9,100
MSA_YP_005224562.1.faa,Mutations found,2,100
MSA_YP_005226095.1.faa,Mutations found,6,99
MSA_YP_005227086.1.faa,Mutations found,292,63
MSA_YP_005227854.1.faa,Mutations found,33,99
MSA_YP_005226148.1.faa,Mutations found,7,100
MSA_YP_005228828.1.faa,Mutations found,5,65
MSA_YP_005229591.1.faa,Mutations found,12,99
MSA_YP_005227434.1.faa,Mutations found,55,98
MSA_YP_005228766.1.faa,Mutations found,49,99
MSA_YP_005226029.1.faa,Mutations found,9,65
MSA_YP_005226138.1.faa,Mutations found,231,28
MSA_YP_005227634.1.faa,Mutations found,12,100
MSA_YP_005228297.1.faa,Mutations found,21,100
MSA_YP_005229198.1.faa,Mutations found,1,97
MSA_YP_005225358.1.faa,Mutations found,7,100
MSA_YP_005228480.1.faa,Mutations found,10,100
MSA_YP_005228579.1.faa,Mutations found,9,99
MSA_YP_005224398.1.faa,Mutations found,5,100
MSA_YP_005227355.1.faa,Mutations found,26,100
MSA_YP_005229374.1.faa,Mutations found,6,100
MSA_YP_005227907.1.faa,Mutations found,22,100
MSA_YP_005229573.1.faa,Mutations found,24,100
MSA_YP_005227095.1.faa,Mutations found,2,100
MSA_YP_005226477.1.faa,No mutations found,0,100
MSA_YP_005227410.1.faa,Mutations found,17,100
MSA_YP_005226111.1.faa,Mutations found,3,100
MSA_YP_005225481.1.faa,Mutations found,10,100
MSA_YP_005224364.1.faa,Mutations found,3,100
MSA_YP_005228430.1.faa,Mutations found,6,100
MSA_YP_005228715.1.faa,No mutations found,0,100
MSA_YP_005226500.1.faa,Mutations found,51,100
MSA_YP_005226439.1.faa,Mutations found,2,100
MSA_YP_005226282.1.faa,Mutations found,16,100
MSA_YP_005227890.1.faa,Mutations found,11,99
MSA_YP_005225830.1.faa,Mutations found,5,100
MSA_YP_005225846.1.faa,Mutations found,3,100
MSA_YP_005226764.1.faa,Mutations found,93,100
MSA_YP_005228472.1.faa,Mutations found,6,100
MSA_YP_005227760.1.faa,Mutations found,51,107
MSA_YP_005224699.1.faa,Mutations found,2,100
MSA_YP_005226397.1.faa,Mutations found,3,100
MSA_YP_005226378.1.faa,Mutations found,26,56
MSA_YP_005226080.1.faa,Mutations found,7,100
MSA_YP_005228589.1.faa,Mutations found,2,100
MSA_YP_005226376.1.faa,Mutations found,3,98
MSA_YP_005224490.1.faa,No mutations found,0,100
MSA_YP_005227221.1.faa,Mutations found,7,100
MSA_YP_005227831.1.faa,Mutations found,20,95
MSA_YP_005224772.1.faa,Mutations found,13,100
MSA_YP_005228800.1.faa,Mutations found,19,64
MSA_YP_005229004.1.faa,Mutations found,4,100
MSA_YP_005226478.1.faa,No mutations found,0,2
MSA_YP_005229522.1.faa,Mutations found,8,100
MSA_YP_005228314.1.faa,Mutations found,22,2
MSA_YP_005227576.1.faa,Mutations found,17,88
MSA_YP_005226579.1.faa,Mutations found,68,65
MSA_YP_005224411.1.faa,No mutations found,0,100
MSA_YP_005226262.1.faa,Mutations found,148,85
MSA_YP_005225113.1.faa,Mutations found,6,100
MSA_YP_005225775.1.faa,Mutations found,9,100
MSA_YP_005226827.1.faa,Mutations found,582,98
MSA_YP_005227527.1.faa,Mutations found,8,100
MSA_YP_005225069.1.faa,Mutations found,10,100
MSA_YP_005228468.1.faa,Mutations found,37,89
MSA_YP_005225075.1.faa,Mutations found,7,99
MSA_YP_005228591.1.faa,Mutations found,12,100
MSA_YP_005226759.1.faa,Mutations found,2,100
MSA_YP_005229144.1.faa,No mutations found,0,100
MSA_YP_005227956.1.faa,Mutations found,490,98
MSA_YP_005224636.1.faa,Mutations found,4,100
MSA_YP_005227715.1.faa,Mutations found,3,100
MSA_YP_005224324.1.faa,Mutations found,3,99
MSA_YP_005229476.1.faa,No mutations found,0,100
MSA_YP_005225301.1.faa,No mutations found,0,3
MSA_YP_005229410.1.faa,Mutations found,3,100
MSA_YP_005228899.1.faa,Mutations found,5,100
MSA_YP_005226801.1.faa,Mutations found,3,100
MSA_YP_005229445.1.faa,Mutations found,6,100
MSA_YP_005227099.1.faa,Mutations found,2,96
MSA_YP_005226833.1.faa,Mutations found,12,99
MSA_YP_005225390.1.faa,Mutations found,16,100
MSA_YP_005227701.1.faa,Mutations found,6,100
MSA_YP_005224742.1.faa,No mutations found,0,100
MSA_YP_005229483.1.faa,Mutations found,10,101
MSA_YP_005225631.1.faa,Mutations found,14,98
MSA_YP_005226399.1.faa,Mutations found,208,425
MSA_YP_005225151.1.faa,Mutations found,329,169
MSA_YP_005225708.1.faa,Mutations found,42,81
MSA_YP_005224886.1.faa,Mutations found,3,100
MSA_YP_005226767.1.faa,Mutations found,4,100
MSA_YP_005225192.1.faa,Mutations found,351,426
MSA_YP_005224788.1.faa,Mutations found,3,100
MSA_YP_005227383.1.faa,Mutations found,24,100
MSA_YP_005225533.1.faa,Mutations found,2,100
MSA_YP_005227075.1.faa,Mutations found,5,98
MSA_YP_005226139.1.faa,Mutations found,182,100
MSA_YP_005225445.1.faa,Mutations found,12,100
MSA_YP_005227728.1.faa,Mutations found,30,99
MSA_YP_005228436.1.faa,Mutations found,3,100
MSA_YP_005228604.1.faa,Mutations found,3,100
MSA_YP_005225099.1.faa,Mutations found,11,100
MSA_YP_005229577.1.faa,Mutations found,3,100
MSA_YP_005224913.1.faa,Mutations found,11,100
MSA_YP_005226813.1.faa,Mutations found,8,98
MSA_YP_005228229.1.faa,Mutations found,5,101
MSA_YP_005228836.1.faa,Mutations found,14,97
MSA_YP_005225660.1.faa,Mutations found,15,98
MSA_YP_005225174.1.faa,Mutations found,1,99
MSA_YP_005227020.1.faa,Mutations found,245,100
MSA_YP_005228660.1.faa,Mutations found,8,100
MSA_YP_005228476.1.faa,Mutations found,25,100
MSA_YP_005227828.1.faa,No mutations found,0,500
MSA_YP_005229173.1.faa,No mutations found,0,100
MSA_YP_005229442.1.faa,Mutations found,2,100
MSA_YP_005226154.1.faa,Mutations found,2,100
MSA_YP_005227597.1.faa,Mutations found,3,80
MSA_YP_005226164.1.faa,Mutations found,1,100
MSA_YP_005227757.1.faa,Mutations found,14,100
MSA_YP_005229091.1.faa,Mutations found,4,95
MSA_YP_005229080.1.faa,Mutations found,26,99
MSA_YP_005225520.1.faa,Mutations found,3,99
MSA_YP_005227297.1.faa,Mutations found,6,97
MSA_YP_005227237.1.faa,Mutations found,2,100
MSA_YP_005224711.1.faa,Mutations found,7,100
MSA_YP_005228590.1.faa,Mutations found,10,100
MSA_YP_005224956.1.faa,Mutations found,4,100
MSA_YP_005229133.1.faa,No mutations found,0,100
MSA_YP_005228573.1.faa,Mutations found,1,100
MSA_YP_005229450.1.faa,Mutations found,243,100
MSA_YP_005224955.1.faa,Mutations found,18,99
MSA_YP_005229296.1.faa,Mutations found,2,100
MSA_YP_005226100.1.faa,Mutations found,1,100
MSA_YP_005229616.1.faa,Mutations found,4,99
MSA_YP_005225566.1.faa,Mutations found,36,13
MSA_YP_005229005.1.faa,Mutations found,3,100
MSA_YP_005227604.1.faa,Mutations found,11,44
MSA_YP_005224931.1.faa,Mutations found,5,100
MSA_YP_005226039.1.faa,Mutations found,482,50
MSA_YP_005227228.1.faa,Mutations found,1,99
MSA_YP_005228185.1.faa,Mutations found,31,100
MSA_YP_005228734.1.faa,Mutations found,3,82
MSA_YP_005225223.1.faa,Mutations found,9,99
MSA_YP_005228758.1.faa,Mutations found,4,100
MSA_YP_005225207.1.faa,Mutations found,5,100
MSA_YP_005226758.1.faa,Mutations found,12,100
MSA_YP_005229441.1.faa,Mutations found,1,100
MSA_YP_005226947.1.faa,Mutations found,13,77
MSA_YP_005225324.1.faa,Mutations found,1,100
MSA_YP_005228398.1.faa,Mutations found,15,4
MSA_YP_005225396.1.faa,Mutations found,3,100
MSA_YP_005227508.1.faa,Mutations found,6,98
MSA_YP_005228081.1.faa,Mutations found,6,100
MSA_YP_005228620.1.faa,Mutations found,2,100
MSA_YP_005226969.1.faa,Mutations found,3,98
MSA_YP_005224845.1.faa,Mutations found,3,6
MSA_YP_005225983.1.faa,Mutations found,59,100
MSA_YP_005228313.1.faa,Mutations found,41,1
MSA_YP_005228736.1.faa,Mutations found,5,82
MSA_YP_005227629.1.faa,Mutations found,32,100
MSA_YP_005229213.1.faa,Mutations found,12,100
MSA_YP_005225038.1.faa,Mutations found,1,78
MSA_YP_005227541.1.faa,Mutations found,3,100
MSA_YP_005226851.1.faa,Mutations found,30,99
MSA_YP_005227142.1.faa,Mutations found,21,94
MSA_YP_005227400.1.faa,Mutations found,8,98
MSA_YP_005227305.1.faa,Mutations found,3,96
MSA_YP_005229515.1.faa,Mutations found,6,100
MSA_YP_005224339.1.faa,Mutations found,2,100
MSA_YP_005225644.1.faa,Mutations found,27,95
MSA_YP_005227647.1.faa,Mutations found,4,100
MSA_YP_005225317.1.faa,Mutations found,2,100
MSA_YP_005225888.1.faa,Mutations found,2,100
MSA_YP_005228697.1.faa,Mutations found,2,100
MSA_YP_005226314.1.faa,Mutations found,8,99
MSA_YP_005229319.1.faa,Mutations found,18,100
MSA_YP_005226539.1.faa,Mutations found,33,67
MSA_YP_005229463.1.faa,No mutations found,0,100
MSA_YP_005224430.1.faa,No mutations found,0,100
MSA_YP_005227953.1.faa,Mutations found,19,99
MSA_YP_005225466.1.faa,Mutations found,12,100
MSA_YP_005224774.1.faa,Mutations found,3,100
MSA_YP_005229346.1.faa,Mutations found,2,100
MSA_YP_005228460.1.faa,Mutations found,14,100
MSA_YP_005228967.1.faa,No mutations found,0,82
MSA_YP_005224491.1.faa,Mutations found,9,100
MSA_YP_005228551.1.faa,No mutations found,0,100
MSA_YP_005228098.1.faa,Mutations found,210,99
MSA_YP_005224423.1.faa,Mutations found,1,100
MSA_YP_005228923.1.faa,Mutations found,8,100
MSA_YP_005227674.1.faa,Mutations found,13,100
MSA_YP_005229322.1.faa,Mutations found,17,100
MSA_YP_005226920.1.faa,Mutations found,6,98
MSA_YP_005226476.1.faa,Mutations found,4,100
MSA_YP_005225789.1.faa,Mutations found,3,100
MSA_YP_005224916.1.faa,Mutations found,80,100
MSA_YP_005228762.1.faa,Mutations found,1,100
MSA_YP_005228153.1.faa,Mutations found,6,100
MSA_YP_005227551.1.faa,Mutations found,20,85
MSA_YP_005225450.1.faa,Mutations found,2,100
MSA_YP_005227301.1.faa,Mutations found,5,95
MSA_YP_005225739.1.faa,Mutations found,3,99
MSA_YP_005225104.1.faa,Mutations found,3,100
MSA_YP_005224428.1.faa,Mutations found,1,100
MSA_YP_005224688.1.faa,Mutations found,25,93
MSA_YP_005229013.1.faa,No mutations found,0,100
MSA_YP_005228991.1.faa,Mutations found,2,100
MSA_YP_005226363.1.faa,Mutations found,2,99
MSA_YP_005226370.1.faa,Mutations found,10,100
MSA_YP_005229193.1.faa,Mutations found,36,100
MSA_YP_005225747.1.faa,Mutations found,9,100
MSA_YP_005228780.1.faa,Mutations found,33,64
MSA_YP_005229286.1.faa,Mutations found,1,100
MSA_YP_005226468.1.faa,Mutations found,2,100
MSA_YP_005225378.1.faa,Mutations found,1,100
MSA_YP_005225019.1.faa,Mutations found,2,100
MSA_YP_005229032.1.faa,Mutations found,2,100
MSA_YP_005224880.1.faa,Mutations found,5,99
MSA_YP_005228381.1.faa,Mutations found,5,99
MSA_YP_005226922.1.faa,Mutations found,12,98
MSA_YP_005227376.1.faa,Mutations found,9,97
MSA_YP_005226647.1.faa,Mutations found,2,100
MSA_YP_005226220.1.faa,No mutations found,0,6
MSA_YP_005228201.1.faa,Mutations found,16,98
MSA_YP_005229176.1.faa,No mutations found,0,100
MSA_YP_005228318.1.faa,Mutations found,19,13
MSA_YP_005226902.1.faa,Mutations found,16,100
MSA_YP_005226751.1.faa,Mutations found,1,100
MSA_YP_005225198.1.faa,No mutations found,0,3
MSA_YP_005228063.1.faa,Mutations found,18,99
MSA_YP_005228959.1.faa,No mutations found,0,100
MSA_YP_005228775.1.faa,Mutations found,5,65
MSA_YP_005224793.1.faa,Mutations found,1,100
MSA_YP_005228833.1.faa,No mutations found,0,71
MSA_YP_005225602.1.faa,Mutations found,25,86
MSA_YP_005225242.1.faa,Mutations found,7,100
MSA_YP_005227681.1.faa,Mutations found,7,100
MSA_YP_005228953.1.faa,Mutations found,3,100
MSA_YP_005226598.1.faa,Mutations found,18,104
MSA_YP_005226307.1.faa,No mutations found,0,100
MSA_YP_005228706.1.faa,Mutations found,3,100
MSA_YP_005228091.1.faa,Mutations found,34,99
MSA_YP_005228694.1.faa,Mutations found,7,100
MSA_YP_005228276.1.faa,Mutations found,4,100
MSA_YP_005228347.1.faa,No mutations found,0,100
MSA_YP_005228427.1.faa,Mutations found,2,100
MSA_YP_005227981.1.faa,Mutations found,5,100
MSA_YP_005229023.1.faa,Mutations found,55,100
MSA_YP_005229044.1.faa,Mutations found,12,100
MSA_YP_005226578.1.faa,Mutations found,98,62
MSA_YP_005228538.1.faa,Mutations found,2,100
MSA_YP_005226287.1.faa,Mutations found,12,100
MSA_YP_005225630.1.faa,Mutations found,10,100
MSA_YP_005224918.1.faa,Mutations found,4,101
MSA_YP_005225029.1.faa,Mutations found,27,97
MSA_YP_005225370.1.faa,Mutations found,1,100
MSA_YP_005225600.1.faa,Mutations found,16,86
MSA_YP_005226419.1.faa,Mutations found,5,99
MSA_YP_005226733.1.faa,Mutations found,2,100
MSA_YP_005224860.1.faa,Mutations found,35,64
MSA_YP_005228093.1.faa,Mutations found,4,99
MSA_YP_005226996.1.faa,Mutations found,13,85
MSA_YP_005226085.1.faa,Mutations found,4,98
MSA_YP_005229330.1.faa,Mutations found,15,100
MSA_YP_005229264.1.faa,Mutations found,7,100
MSA_YP_005228290.1.faa,Mutations found,2,100
MSA_YP_005229496.1.faa,Mutations found,5,99
MSA_YP_005224487.1.faa,Mutations found,5,100
MSA_YP_005226259.1.faa,Mutations found,7,99
MSA_YP_005228810.1.faa,Mutations found,3,61
MSA_YP_005229430.1.faa,Mutations found,6,100
MSA_YP_005227259.1.faa,Mutations found,35,96
MSA_YP_005227429.1.faa,No mutations found,0,99
MSA_YP_005227452.1.faa,Mutations found,4,100
MSA_YP_005228792.1.faa,Mutations found,212,65
